title,year,link,price,monthly_payment,down_payment_pct,city,date,views,is_verified_seller,is_from_dealer,is_official_dealer,down_payment,mean_price,offer_price,generation,bodywork,engine_volume,mileage,transmission,drive,wheel,color,customs_clearance_in_kz,city_filter,price_numeric
BMW X7,2022,https://kolesa.kz/a/show/217480273?search_id=4c1988cc1daca74d2c7b0b60170462f4e087fd12&search_type=filter&advert_position=35,69 000 000₸,584 021₸/мес,74%,Алматы,30 апреля,288,FALSE,FALSE,FALSE,584 021₸,73 673 000 ₸,69 000 000 ₸,2022 - н.в. G07 рестайлинг,Кроссовер,4.4 (бензин),35 000 км,Автомат,Полный привод,Слева,,Да,all,69000000
Mercedes-Benz GLE 53 AMG 4MATIC+,2019,https://kolesa.kz/a/show/203739668?search_id=4c1988cc1daca74d2c7b0b60170462f4e087fd12&search_type=filter&advert_position=36,84 900 000₸,,,Астана,30 апреля,3765,FALSE,FALSE,TRUE,,,84 900 000 ₸,2019 - н.в. V167,Кроссовер,3 (бензин),,Автомат,Полный привод,Слева,черный металлик,Да,all,84900000
Lexus LX 600,2021,https://kolesa.kz/a/show/211249606?search_id=4c1988cc1daca74d2c7b0b60170462f4e087fd12&search_type=filter&advert_position=37,65 000 000₸,,,Астана,30 апреля,6485,FALSE,FALSE,FALSE,,69 560 000 ₸,65 000 000 ₸,2021 - н.в. 4 поколение,Внедорожник,3.5 (бензин),53 000 км,Автомат,Полный привод,Слева,белый металлик,Да,all,65000000
BMW X7,2022,https://kolesa.kz/a/show/175348181?search_id=4c1988cc1daca74d2c7b0b60170462f4e087fd12&search_type=filter&advert_position=38,63 000 000₸,584 021₸/мес,71%,Тараз,30 апреля,23490,FALSE,FALSE,FALSE,584 021₸,55 680 000 ₸,63 000 000 ₸,2022 - н.в. G07 рестайлинг,Кроссовер,3 (бензин),35 000 км,Автомат,Полный привод,Слева,черный металлик,Да,all,63000000
Mercedes-Benz G 63 AMG,2018,https://kolesa.kz/a/show/212615753?search_id=4c1988cc1daca74d2c7b0b60170462f4e087fd12&search_type=filter&advert_position=39,118 000 000₸,,,Алматы,30 апреля,97,FALSE,FALSE,FALSE,,113 951 000 ₸,118 000 000 ₸,2018 - н.в. W463,Внедорожник,4 (бензин),40 000 км,Автомат,Полный привод,Слева,черный металлик,Да,all,118000000
BMW M5,2024,https://kolesa.kz/a/show/217668600?search_id=4c1988cc1daca74d2c7b0b60170462f4e087fd12&search_type=filter&advert_position=40,97 000 000₸,,,Алматы,30 апреля,692,TRUE,FALSE,FALSE,,,97 000 000 ₸,,Седан,4.4 (гибрид),2 262 км,Автомат,Полный привод,Слева,зеленый,Да,all,97000000
Mercedes-Benz GLE 53 AMG 4MATIC+,2019,https://kolesa.kz/a/show/203739668?search_id=dea713409444a65962ed7e87d7c6a43053f64854&search_type=filter&advert_position=41,84 900 000₸,,,Астана,30 апреля,3766,FALSE,FALSE,TRUE,,,84 900 000 ₸,2019 - н.в. V167,Кроссовер,3 (бензин),,Автомат,Полный привод,Слева,черный металлик,Да,all,84900000
Lexus LX 600,2021,https://kolesa.kz/a/show/211249606?search_id=dea713409444a65962ed7e87d7c6a43053f64854&search_type=filter&advert_position=42,65 000 000₸,,,Астана,30 апреля,6488,FALSE,FALSE,FALSE,,69 560 000 ₸,65 000 000 ₸,2021 - н.в. 4 поколение,Внедорожник,3.5 (бензин),53 000 км,Автомат,Полный привод,Слева,белый металлик,Да,all,65000000
BMW X7,2022,https://kolesa.kz/a/show/175348181?search_id=dea713409444a65962ed7e87d7c6a43053f64854&search_type=filter&advert_position=43,63 000 000₸,584 021₸/мес,71%,Тараз,30 апреля,23491,FALSE,FALSE,FALSE,584 021₸,55 680 000 ₸,63 000 000 ₸,2022 - н.в. G07 рестайлинг,Кроссовер,3 (бензин),35 000 км,Автомат,Полный привод,Слева,черный металлик,Да,all,63000000
Mercedes-Benz G 63 AMG,2018,https://kolesa.kz/a/show/212615753?search_id=dea713409444a65962ed7e87d7c6a43053f64854&search_type=filter&advert_position=44,118 000 000₸,,,Алматы,30 апреля,98,FALSE,FALSE,FALSE,,113 951 000 ₸,118 000 000 ₸,2018 - н.в. W463,Внедорожник,4 (бензин),40 000 км,Автомат,Полный привод,Слева,черный металлик,Да,all,118000000
BMW M5,2024,https://kolesa.kz/a/show/217668600?search_id=dea713409444a65962ed7e87d7c6a43053f64854&search_type=filter&advert_position=45,97 000 000₸,,,Алматы,30 апреля,693,TRUE,FALSE,FALSE,,,97 000 000 ₸,,Седан,4.4 (гибрид),2 262 км,Автомат,Полный привод,Слева,зеленый,Да,all,97000000
Rolls-Royce Ghost,2009,https://kolesa.kz/a/show/218642576?search_id=dea713409444a65962ed7e87d7c6a43053f64854&search_type=filter&advert_position=46,82 000 000₸,,,Алматы,30 апреля,76,FALSE,FALSE,FALSE,,,82 000 000 ₸,2009 - 2014 1 поколение (RR4),Седан,6.6 (бензин),98 000 км,Автомат,Задний привод,Слева,,Да,all,82000000
Zeekr 9X,2025,https://kolesa.kz/a/show/209783399?search_id=dea713409444a65962ed7e87d7c6a43053f64854&search_type=filter&advert_position=47,60 000 000₸,,,Алматы,30 апреля,7362,FALSE,FALSE,FALSE,,54 909 000 ₸,60 000 000 ₸,2025 - н.в. 1 поколение,Кроссовер,2 (бензин),20 км,Автомат,Полный привод,Слева,черный металлик,Да,all,60000000
Lamborghini Urus,2017,https://kolesa.kz/a/show/213690509?search_id=dea713409444a65962ed7e87d7c6a43053f64854&search_type=filter&advert_position=48,130 000 000₸,,,Алматы,30 апреля,25698,FALSE,FALSE,FALSE,,,130 000 000 ₸,2017 - н.в. 1 поколение,Кроссовер,4 (бензин),37 000 км,Автомат,Полный привод,Слева,синий,Да,all,130000000
BYD Yangwang U8,2023,https://kolesa.kz/a/show/183357483?search_id=dea713409444a65962ed7e87d7c6a43053f64854&search_type=filter&advert_position=49,65 000 000₸,,,Шымкент,30 апреля,761,FALSE,FALSE,FALSE,,78 071 000 ₸,65 000 000 ₸,2023 - н.в. 1 поколение,Внедорожник,2 (гибрид),29 000 км,Автомат,Полный привод,Слева,бирюзовый,Да,all,65000000
BMW X7 XDrive 40i,2022,https://kolesa.kz/a/show/213945874?search_id=dea713409444a65962ed7e87d7c6a43053f64854&search_type=filter&advert_position=50,90 138 000₸,,,Аксу,30 апреля,1394,FALSE,FALSE,TRUE,,79 300 000 ₸,90 138 000 ₸,2022 - н.в. G07 рестайлинг,Кроссовер,3 (бензин),,Автомат,Полный привод,Слева,,Да,all,90138000
BMW 550,2023,https://kolesa.kz/a/show/217030536?search_id=dea713409444a65962ed7e87d7c6a43053f64854&search_type=filter&advert_position=51,68 250 000₸,,,Астана,30 апреля,455,TRUE,FALSE,FALSE,,,68 250 000 ₸,2023 - н.в. G60,Седан,3 (гибрид),9 462 км,Автомат,Полный привод,Слева,синий,Да,all,68250000
Land Rover Range Rover Sport Dynamic SE,2022,https://kolesa.kz/a/show/217206869?search_id=dea713409444a65962ed7e87d7c6a43053f64854&search_type=filter&advert_position=52,104 391 000₸,,,Павлодар,30 апреля,435,TRUE,FALSE,FALSE,,,104 391 000 ₸,2022 - н.в. 3 поколение,Внедорожник,3 (бензин),20 км,Автомат,Полный привод,Слева,черный металлик,Да,all,104391000
Land Rover Range Rover HSE,2021,https://kolesa.kz/a/show/218477041?search_id=dea713409444a65962ed7e87d7c6a43053f64854&search_type=filter&advert_position=53,124 069 000₸,,,Астана,30 апреля,166,FALSE,FALSE,TRUE,,,124 069 000 ₸,2021 - н.в. 5 поколение,Внедорожник,3 (бензин),1 км,Автомат,Полный привод,Слева,золотистый металлик,Да,all,124069000
Mercedes-Benz G 63 AMG 4MATIC,2018,https://kolesa.kz/a/show/217725896?search_id=dea713409444a65962ed7e87d7c6a43053f64854&search_type=filter&advert_position=54,85 000 000₸,,,Алматы,30 апреля,471,TRUE,FALSE,FALSE,,,85 000 000 ₸,2018 - н.в. W463,Внедорожник,4 (бензин),,Автомат,Полный привод,Слева,белый,Нет,all,85000000
